fips,county,state,state_code,male_count,female_count,median_age,population,female_percentage,lat,long,financialdata,total_count
13035,Butts County,Georgia,GA,12661,11089,38.5,23750,46.69052631578947,33.287881117452336,-83.95718512837009,13035.0,23750
13037,Calhoun County,Georgia,GA,3875,2553,38.8,6428,39.71686372121967,31.529222291905548,-84.62453274545412,13037.0,6428
13039,Camden County,Georgia,GA,27019,25695,32.3,52714,48.74416663504951,30.9305629089952,-81.66997639236853,13039.0,52714
13043,Candler County,Georgia,GA,5363,5464,37.8,10827,50.4664265262769,32.403441866832,-82.07366026690293,13043.0,10827
13045,Carroll County,Georgia,GA,56448,59574,34.5,116022,51.347158297564256,33.58278635872622,-85.07976834898115,13045.0,116022
13047,Catoosa County,Georgia,GA,31991,34308,39.9,66299,51.74738683841385,34.90362889994557,-85.1382495470056,13047.0,66299
13049,Charlton County,Georgia,GA,7522,5461,41.7,12983,42.062697373488405,30.78172966832286,-82.13793183909222,13049.0,12983
13051,Chatham County,Georgia,GA,138403,148646,35.2,287049,51.7841901556877,32.00421552918854,-81.13283524725082,13051.0,287049
13053,Chattahoochee County,Georgia,GA,7172,3595,23.7,10767,33.38905916225504,32.34698433321824,-84.78702090474057,13053.0,10767
13055,Chattooga County,Georgia,GA,12865,11952,39.5,24817,48.16053511705686,34.47500026331241,-85.34534078306989,13055.0,24817
13057,Cherokee County,Georgia,GA,119270,122640,38.3,241910,50.696540035550406,34.24394989575188,-84.47619174967369,13057.0,241910
13059,Clarke County,Georgia,GA,59248,65354,27.7,124602,52.45020144138939,33.951178294195735,-83.36733044991767,13059.0,124602
13061,Clay County,Georgia,GA,1473,1528,45.1,3001,50.91636121292903,31.626237880866245,-84.98008738502199,13061.0,3001
13063,Clayton County,Georgia,GA,130748,147918,32.4,278666,53.08074899700716,33.54190470997107,-84.35764422823787,13063.0,278666
13065,Clinch County,Georgia,GA,3427,3316,37.7,6743,49.17692421770725,30.91499529746785,-82.7062571569877,13065.0,6743
13067,Cobb County,Georgia,GA,360270,384787,36.5,745057,51.64531035880477,33.941481403689004,-84.57669231618759,13067.0,745057
13069,Coffee County,Georgia,GA,22088,20873,36.2,42961,48.58592677079211,31.549285774251164,-82.84917705280685,13069.0,42961
13071,Colquitt County,Georgia,GA,22554,23052,36.4,45606,50.54598079200105,31.188376864146942,-83.76879848979921,13071.0,45606
13073,Columbia County,Georgia,GA,71970,75325,36.6,147295,51.13887097321701,33.544117005468124,-82.26403886625559,13073.0,147295
13075,Cook County,Georgia,GA,8348,8836,37.4,17184,51.41992551210428,31.15399291233004,-83.43046305152593,13075.0,17184
13077,Coweta County,Georgia,GA,68430,72086,38.5,140516,51.30091946824561,33.353464261142136,-84.76335813394351,13077.0,140516
13079,Crawford County,Georgia,GA,6299,6045,44.4,12344,48.97116007777058,32.71451075484091,-83.98632970226816,13079.0,12344
13081,Crisp County,Georgia,GA,10849,11997,38.8,22846,52.51247483148035,31.9229115334244,-83.76805458478232,13081.0,22846
13083,Dade County,Georgia,GA,7932,8295,42.2,16227,51.1185061933814,34.85455198002998,-85.50451949439496,13083.0,16227
13085,Dawson County,Georgia,GA,11774,12087,43.4,23861,50.655881983152426,34.44429664766713,-84.17062681094588,13085.0,23861
13087,Decatur County,Georgia,GA,12907,13926,38.1,26833,51.898781351321134,30.878348510707905,-84.5790467928489,13087.0,26833
13089,DeKalb County,Georgia,GA,351871,391316,35.6,743187,52.653773545554486,33.7715360255193,-84.22642599367776,13089.0,743187
13091,Dodge County,Georgia,GA,10972,9947,41.6,20919,47.55007409532004,32.17220685504268,-83.16840542232751,13091.0,20919
13093,Dooly County,Georgia,GA,7529,6376,43.7,13905,45.85400934915498,32.15718703870342,-83.79879578129346,13093.0,13905
13095,Dougherty County,Georgia,GA,42144,48905,35.1,91049,53.71283594547991,31.53346417626125,-84.2163863940889,13095.0,91049
13097,Douglas County,Georgia,GA,67726,74114,36.4,141840,52.25183305132544,33.70184254125166,-84.76795534667156,13097.0,141840
13099,Early County,Georgia,GA,4791,5557,40.7,10348,53.70119829918825,31.322828065272223,-84.9036560198351,13099.0,10348
13101,Echols County,Georgia,GA,1973,2021,40.9,3994,50.60090135202804,30.710050404607664,-82.8939614401204,13101.0,3994
13103,Effingham County,Georgia,GA,29215,29474,36.1,58689,50.22065463715517,32.36728626780035,-81.34135177842046,13103.0,58689
13105,Elbert County,Georgia,GA,9188,10024,42.6,19212,52.17572350614199,34.11679503971489,-82.84014598002615,13105.0,19212
13107,Emanuel County,Georgia,GA,11105,11394,36.8,22499,50.64225076670075,32.58973973272469,-82.30171316851842,13107.0,22499
13109,Evans County,Georgia,GA,5303,5424,37.7,10727,50.56399738976415,32.156764561306865,-81.88688163404811,13109.0,10727
13111,Fannin County,Georgia,GA,12086,12839,51.4,24925,51.51053159478435,34.86408398906588,-84.31983386746593,13111.0,24925
13113,Fayette County,Georgia,GA,54055,57314,43.5,111369,51.46315401952069,33.4139533236953,-84.49418416217284,13113.0,111369
13115,Floyd County,Georgia,GA,46810,50014,38.5,96824,51.65454845905973,34.26318326372692,-85.21425982603338,13115.0,96824
13117,Forsyth County,Georgia,GA,109258,110622,38.3,219880,50.31016918319084,34.225543250240136,-84.12502041036171,13117.0,219880
13119,Franklin County,Georgia,GA,10853,11661,41.0,22514,51.79443901572355,34.375440172659985,-83.22915634034976,13119.0,22514
13121,Fulton County,Georgia,GA,495087,526815,35.4,1021902,51.55239934944839,33.7902819359464,-84.466990863304,13121.0,1021902
13123,Gilmer County,Georgia,GA,15079,14843,46.9,29922,49.60564133413542,34.691163005166125,-84.45562503764883,13123.0,29922
13125,Glascock County,Georgia,GA,1438,1571,43.2,3009,52.21003655699568,33.22928288536465,-82.61070062299642,13125.0,3009
13127,Glynn County,Georgia,GA,39419,44555,41.0,83974,53.05808940862647,31.230896488306307,-81.54071676718564,13127.0,83974
13129,Gordon County,Georgia,GA,28001,28789,37.8,56790,50.69378411692199,34.5033605690871,-84.87570724278247,13129.0,56790
13131,Grady County,Georgia,GA,12176,12750,39.7,24926,51.1514081681778,30.874665907997095,-84.23444072471816,13131.0,24926
13133,Greene County,Georgia,GA,8299,8677,49.4,16976,51.113336475023566,33.578830247761594,-83.16667059638986,13133.0,16976
13135,Gwinnett County,Georgia,GA,441051,461247,35.1,902298,51.11914245626168,33.96172854043182,-84.02359470088649,13135.0,902298
13137,Habersham County,Georgia,GA,20962,23327,39.5,44289,52.66996319627899,34.63102796897801,-83.53112369360295,13137.0,44289
13139,Hall County,Georgia,GA,97518,98443,36.3,195961,50.23601635019212,34.31690075671022,-83.81966681467573,13139.0,195961
13141,Hancock County,Georgia,GA,5193,3342,46.5,8535,39.156414762741655,33.27045137148866,-83.00067258771404,13141.0,8535
13143,Haralson County,Georgia,GA,14041,14915,40.8,28956,51.50918635170604,33.79421744119261,-85.21101885254258,13143.0,28956
13145,Harris County,Georgia,GA,16832,16758,43.1,33590,49.889848169097945,32.73603909608057,-84.90889194436292,13145.0,33590
13147,Hart County,Georgia,GA,12558,13073,43.8,25631,51.0046428153408,34.350834817028144,-82.96422076152128,13147.0,25631
13149,Heard County,Georgia,GA,5747,5930,41.5,11677,50.78359167594416,33.2970394184972,-85.12833608227382,13149.0,11677
13151,Henry County,Georgia,GA,105759,115548,36.9,221307,52.21163361303529,33.453002479672215,-84.15420611600409,13151.0,221307
13153,Houston County,Georgia,GA,73756,77926,35.3,151682,51.37458630556032,32.45900724874561,-83.6662261769682,13153.0,151682
13155,Irwin County,Georgia,GA,4758,4510,39.9,9268,48.662063012516185,31.60221363525994,-83.27635387196311,13155.0,9268
13157,Jackson County,Georgia,GA,32445,33310,38.5,65755,50.6577446582009,34.133885707172965,-83.56636586667071,13157.0,65755
13159,Jasper County,Georgia,GA,6682,7102,42.4,13784,51.523505513639,33.316395871421726,-83.68805768375236,13159.0,13784
13161,Jeff Davis County,Georgia,GA,7408,7583,36.7,14991,50.583683543459415,31.80559288631852,-82.63683938670643,13161.0,14991
13163,Jefferson County,Georgia,GA,7605,8167,39.3,15772,51.78163834643672,33.054865346172456,-82.41817746894817,13163.0,15772
13165,Jenkins County,Georgia,GA,4055,4772,43.7,8827,54.06140251501076,32.7924472715822,-81.9635495362388,13165.0,8827
13167,Johnson County,Georgia,GA,5318,4412,41.0,9730,45.344295991778,32.70146071522266,-82.66007950762193,13167.0,9730
13169,Jones County,Georgia,GA,13874,14674,40.1,28548,51.401148942132544,33.02512491413167,-83.5604947961818,13169.0,28548
13171,Lamar County,Georgia,GA,8959,9554,37.5,18513,51.60697887970616,33.07653568624398,-84.13947124201903,13171.0,18513
13173,Lanier County,Georgia,GA,5183,5183,35.4,10366,50.0,31.03787301419776,-83.06275656378837,13173.0,10366
13175,Laurens County,Georgia,GA,22497,24921,38.3,47418,52.55599139567253,32.46365198549267,-82.92223333826969,13175.0,47418
13177,Lee County,Georgia,GA,14674,14674,37.2,29348,50.0,31.77955418319694,-84.14116010178077,13177.0,29348
13179,Liberty County,Georgia,GA,31550,30558,28.1,62108,49.20139112513686,31.828090427969027,-81.49472957063509,13179.0,62108
13181,Lincoln County,Georgia,GA,3683,4116,47.3,7799,52.7759969226824,33.7936368132954,-82.45114027585134,13181.0,7799
13183,Long County,Georgia,GA,8872,9284,32.7,18156,51.13461114782992,31.752555201377376,-81.74569516867166,13183.0,18156
13185,Lowndes County,Georgia,GA,55959,58623,30.2,114582,51.16248625438551,30.833813483294463,-83.26772968164954,13185.0,114582
13187,Lumpkin County,Georgia,GA,15551,16400,37.2,31951,51.3285969140246,34.57218743697272,-84.00267573416866,13187.0,31951
13189,McDuffie County,Georgia,GA,9999,11499,37.6,21498,53.48869662294167,33.48286163979095,-82.48136661504543,13189.0,21498
13191,McIntosh County,Georgia,GA,7036,7084,49.7,14120,50.169971671388105,31.496659485555227,-81.40846875833738,13191.0,14120
13193,Macon County,Georgia,GA,7342,6138,40.2,13480,45.53412462908012,32.35838315247808,-84.04249465304633,13193.0,13480
13195,Madison County,Georgia,GA,14508,14392,41.2,28900,49.79930795847751,34.12778417055858,-83.20903988886081,13195.0,28900
13197,Marion County,Georgia,GA,4203,4281,45.2,8484,50.45968882602546,32.35339325258453,-84.52466882566891,13197.0,8484
13199,Meriwether County,Georgia,GA,10221,10892,41.6,21113,51.58906834651636,33.04066422223384,-84.68831071107692,13199.0,21113
13201,Miller County,Georgia,GA,2832,3004,43.8,5836,51.47361206305688,31.164005230826767,-84.73078382508005,13201.0,5836
13205,Mitchell County,Georgia,GA,11683,10749,38.9,22432,47.91815263908702,31.22532030903023,-84.19427546982408,13205.0,22432
13207,Monroe County,Georgia,GA,13600,13410,43.1,27010,49.648278415401705,33.013924150194065,-83.91865754889993,13207.0,27010
13209,Montgomery County,Georgia,GA,4633,4403,40.0,9036,48.72731297034086,32.173393679756025,-82.53477357833202,13209.0,9036
13211,Morgan County,Georgia,GA,8783,9452,44.5,18235,51.83438442555525,33.59080330045103,-83.49237353017767,13211.0,18235
13213,Murray County,Georgia,GA,19522,20035,38.2,39557,50.64843137750587,34.78842922144334,-84.74806874405759,13213.0,39557
13215,Muscogee County,Georgia,GA,96279,100391,33.9,196670,51.04540601006763,32.51002371368805,-84.87706039104368,13215.0,196670
13217,Newton County,Georgia,GA,50598,55899,36.2,106497,52.48880250147892,33.555039157268126,-83.85019177493012,13217.0,106497
13219,Oconee County,Georgia,GA,18164,18853,40.4,37017,50.93065348353459,33.834965201588105,-83.43710308366634,13219.0,37017
13221,Oglethorpe County,Georgia,GA,7396,7388,42.1,14784,49.972943722943725,33.88066819420212,-83.08070771617628,13221.0,14784
13223,Paulding County,Georgia,GA,76195,79645,35.8,155840,51.1069045174538,33.92053350472796,-84.86729515573921,13223.0,155840
13225,Peach County,Georgia,GA,12952,14014,36.9,26966,51.9691463324186,32.56875549820775,-83.82689022730187,13225.0,26966
13227,Pickens County,Georgia,GA,15233,15599,45.1,30832,50.59353918007265,34.46432655915882,-84.46555468723135,13227.0,30832
13229,Pierce County,Georgia,GA,9639,9525,39.4,19164,49.70256731371322,31.35876960686481,-82.21276281112966,13229.0,19164
13231,Pike County,Georgia,GA,8876,9206,40.7,18082,50.91250967813294,33.09228331201116,-84.38925956576274,13231.0,18082
13233,Polk County,Georgia,GA,20415,21206,37.1,41621,50.95024146464525,34.00179086403913,-85.18814290718093,13233.0,41621
13235,Pulaski County,Georgia,GA,5075,6220,43.0,11295,55.06861443116423,32.23229646334694,-83.475964465911,13235.0,11295
13237,Putnam County,Georgia,GA,10402,11101,46.0,21503,51.62535460168348,33.32176673014263,-83.37279373610288,13237.0,21503
13239,Quitman County,Georgia,GA,1081,1195,48.4,2276,52.50439367311072,31.867347385442194,-85.01877002581864,13239.0,2276
13241,Rabun County,Georgia,GA,8107,8350,48.8,16457,50.73828765874704,34.88173555762309,-83.40208021933655,13241.0,16457
13243,Randolph County,Georgia,GA,3493,3594,40.0,7087,50.71257231550727,31.76265514822153,-84.7541886427644,13243.0,7087
13245,Richmond County,Georgia,GA,97272,104191,33.9,201463,51.71718876418995,33.359591951593146,-82.07350359720895,13245.0,201463
13247,Rockdale County,Georgia,GA,41944,47067,37.7,89011,52.877734212625406,33.65425070435243,-84.0265900693865,13247.0,89011
13249,Schley County,Georgia,GA,2546,2665,37.8,5211,51.14181539052005,32.261662557368844,-84.31475698370534,13249.0,5211
13251,Screven County,Georgia,GA,6804,7186,41.5,13990,51.365260900643314,32.75060542525908,-81.61194170828179,13251.0,13990
13253,Seminole County,Georgia,GA,4027,4410,44.0,8437,52.26976413417091,30.93878565806053,-84.86883880876836,13253.0,8437
13255,Spalding County,Georgia,GA,31395,33324,39.1,64719,51.49028878690957,33.260886846415865,-84.28409469167887,13255.0,64719
